prompt_name,mode,prompt_tokens,ttft_sec,decode_sec_per_token,total_latency_sec,peak_vram_mb,generated_text
reasoning,full_context,1024,0.08450555801391602,0.03579777106642723,2.375652551651001,14065.21484375,"tokens are added, the cache grows and more memory must be accessed during decoding. Autoregressive decoding generates one token at a time. To avoid recomputing attention for all previous tokens, the model caches key and value states. As more tokens are added, the cache grows and more memory must be"
reasoning,full_context,1024,0.08466029167175293,0.03593377768993378,2.3845415115356445,14065.21484375,"tokens are added, the cache grows and more memory must be accessed during decoding. Autoregressive decoding generates one token at a time. To avoid recomputing attention for all previous tokens, the model caches key and value states. As more tokens are added, the cache grows and more memory must be"
retrieval_style,reduced_context,512,0.04741263389587402,0.03565748780965805,2.3295719623565674,13942.94921875,", it also increases prompt length and therefore increases the number of cached states used during decoding. In retrieval-augmented generation, relevant chunks of text are appended to the prompt before the language model generates an answer. While this can improve factual accuracy, it also increases prompt length and therefore increases the number"
retrieval_style,reduced_context,512,0.04708743095397949,0.035482946783304214,2.3180747032165527,13942.94921875,", it also increases prompt length and therefore increases the number of cached states used during decoding. In retrieval-augmented generation, relevant chunks of text are appended to the prompt before the language model generates an answer. While this can improve factual accuracy, it also increases prompt length and therefore increases the number"
retrieval_style,full_context,1024,0.08467960357666016,0.03564400225877762,2.3659982681274414,14065.21484375,"ed generation increase the number of cached states used during decoding? Retrieval-augmented generation increases the number of cached states used during decoding because it appends relevant chunks of text to the prompt before the language model generates an answer. This increases the prompt length, which in turn increases the number of cached"
retrieval_style,full_context,1024,0.08486318588256836,0.03585905209183693,2.3799397945404053,14065.21484375,"ed generation increase the number of cached states used during decoding? Retrieval-augmented generation increases the number of cached states used during decoding because it appends relevant chunks of text to the prompt before the language model generates an answer. This increases the prompt length, which in turn increases the number of cached"
long_context_explanation,reduced_context,512,0.04754757881164551,0.03575081750750542,2.335686206817627,13942.94921875,"uses cached key-value states from previous tokens. As prompts become longer, both the cache size and the amount of memory traffic can increase.

To mitigate the memory usage and traffic issues, we propose a method called ""Prompt-aware Cache Management"" (PCM). PCM dynamically adjusts the"
long_context_explanation,reduced_context,512,0.04763388633728027,0.03574499860405922,2.3353941440582275,13942.94921875,"uses cached key-value states from previous tokens. As prompts become longer, both the cache size and the amount of memory traffic can increase.

To mitigate the memory usage and traffic issues, we propose a method called ""Prompt-aware Cache Management"" (PCM). PCM dynamically adjusts the"
long_context_explanation,full_context,1024,0.08471202850341797,0.03541279211640358,2.3512237071990967,14065.21484375,"can increase. Large language models process the prompt first in a prefill stage and then generate tokens in a decode stage. The decode stage reuses cached key-value states from previous tokens. As prompts become longer, both the cache size and the amount of memory traffic can increase. Large language models process the prompt first"
long_context_explanation,full_context,1024,0.08490204811096191,0.035643063485622406,2.3661420345306396,14065.21484375,"can increase. Large language models process the prompt first in a prefill stage and then generate tokens in a decode stage. The decode stage reuses cached key-value states from previous tokens. As prompts become longer, both the cache size and the amount of memory traffic can increase. Large language models process the prompt first"
